night,target,session,file,mjd_obs,x,y,snr,detected
2026-08-21,Qatar-1,session_01,Qatar-1260821051516.fits,61273.219,255.48,218.12,28.2,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821051815.fits,61273.221,255.8,209.23,33.6,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821052116.fits,61273.223,256.89,207.09,39.6,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821052416.fits,61273.225,256.02,207.96,46.5,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821052715.fits,61273.227,254.52,210.76,41.8,no
2026-08-21,Qatar-1,session_01,Qatar-1260821053015.fits,61273.229,256.23,211.0,19.1,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821053315.fits,61273.231,254.22,221.17,25.0,no
2026-08-21,Qatar-1,session_01,Qatar-1260821053616.fits,61273.234,257.05,214.2,45.9,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821053916.fits,61273.236,258.95,207.9,45.4,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821054215.fits,61273.238,260.01,208.99,55.1,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821054515.fits,61273.24,260.73,202.85,60.5,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821054815.fits,61273.242,259.87,207.24,40.0,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821055115.fits,61273.244,259.78,203.01,54.0,no
2026-08-21,Qatar-1,session_01,Qatar-1260821055415.fits,61273.246,262.72,202.5,16.0,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821055715.fits,61273.248,262.87,205.17,49.2,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821060016.fits,61273.25,264.65,205.69,42.8,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821060316.fits,61273.252,263.72,205.7,45.4,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821060615.fits,61273.254,266.86,205.14,65.9,yes
2026-08-21,Qatar-1,session_01,Qatar-1260821060915.fits,61273.256,264.57,202.77,53.7,no
